Item,Sentence
13347:26,"well, it seems that there's some things like the, uh, the programs at least just go around and, and, and clean up streets and, and, and pick up trash and even aluminum cans and some of these kinds of things."
24192:41,"and, um, i also have a good languages background, linguistics. and some psychology."
58962:27,"ye-, you take some of the batter out and give it to someone else"
147337:25,i am sure you have got some really good nursing homes around dallas.
50706:31,it  would be great to have some of those organizations like you mentioned  that  were during the depression or coming out of the depression available for kids.
135016:25,"um, i try  to do some painting, although i'm not very good at it."
38792:27,it's a lot about spiritual warfare and some things like that.
149736:22,"and, uh, they've had some impact, but not a tremendous amount,"
13059:11,"i sold some of them,"
95345:10,"i do some p c stand alone work on it,"
97320:78,"i was rea-, i was really looking forward to summer, thinking oh, we are going  to have some time off."
42183:38,"uh, i can't remember what the town was , some little area."
45067:40,"and, okay, this, this candidate tells you some things that  are going  to happen"
7361:10,they have some nice stuff down there.
59953:42,"i wonder if a judge didn't have control of that if some of that would change, you know."
152359:98,"although he, you know, the more complex your structure  the, uh, less difficult it  is  to kind of carry some things through"
161018:14,"i mean, some people seem fairly well suited for for, uh, miniature poodles and such."
129179:18,"uh, in dallas, some of the major problems, uh,"
39025:60,"and whenever i go  visit my parents , they're always saying, well, bring some of your tapes."
66763:14,"but, um, some of these people are just out and out brutal."
127011:17,i can associate with some of the people in that movie because of the young students i see  over at the medical school.
101025:37,"but from talking to people in other districts there are some major problems, uh, with dropouts."
131523:14,i've seen some people that  are really quite up there you know
13424:16,"and in fact, some of these things i get , some of these questionnaires,"
151338:21,"uh, like i said, some industries, though, i think it'd be very necessary,"
122792:22,"well, if you play with some consistency though, you can get it right back down."
39625:37,"sliced tomatoes and then green pepper strips, just over it, and some red onion slices, and just a little bit of, um, basil, and then a little italian dressing over it."
43046:79,"it would be an interesting, it  would be even more interesting you, you to be some of these people who  are at the other end of the spectrum."
164185:22,"i, in some ways, it's almost worse than murder."
70851:34,"and, uh, so, we had  to make some adjustments"
91333:59,"um, you know, when i first was applying for graduate schools , i applied to some big programs , you know, in this area, like stevens institute of technology, which  is recognized  in the northeast as, as, you know, one step below m i t in a sense, you know,"
159281:32,"and, uh, then i had  to do some volunteer work here in tyler, texas"
4008:21,"he did, well, in some of the later movies"
4457:24,"so, there must be something to some of them."
167015:43,"and there r-, there are s-, some substantial, nasty penalties, um, if you, if businesses try  to avoid that."
67607:18,"i mean there are some people,"
55892:50,"uh, and i find ways  to, to turn some of that back to, to others ."
87190:11,"that's some of the things i think  about it,"
142780:82,"as far as the rangers are concerned , i think, i think they need some, definitely need some pitching."
2006:5,"some of it,"
163703:15,"i think some of them, the artists are even, uh, hitting the pop charts."
7282:17,"kind of gives you some space for yourself,"
157519:107,"i'd read one book, i think it was calls  trial by jury of all things, that, uh  went through and interviewed a bunch of jurors in some of the big cases, and in many cases  looking at what  had, at the evidence afterwards as to whether the decision was right, went back to the jurors, uh, based on the deliberations."
127350:66,"i've, i've heard they're, i hear you have some problems."
106267:29,i'd have  to go back through some expense reports.
143543:20,"and there are, uh, some fairly sophisticated approaches that  are used  in the high schools with point systems and things like that so that people, uh, gain a competence with respect to the material."
75025:28,"i mean we need  to redo some, rewiring ourselves"
169902:90,"i, i think sometimes, you know, i've noticed, uh, people asking for, uh, some of the patients asking for things , uh, just repetitively and, but things that  are not reasonable,"
69673:14,"they've mumblex some companies that  are doing, uh, hair tests."
42623:15,"i mean, some of these saturday night specials that these companies put  out, that  are, pie-, i mean, they're are"
169857:78,"i think i'd look for a home where they got a lot of attention  and, uh, where they did some things  to try  to keep them, um, mentally alive . and where there was, uh, caring and compassionate, where there were caring and compassionate people, uh, operating it ."
84633:31,"i mean, they are eighteen to twenty-four, some of the young men and women."
123034:17,"i know maybe some of the big things that, uh, uh,"
32942:10,they have some little buds on them
39035:20,"and they said, bring some tapes with you."
20045:19,even better than jaws and some of that.
66700:13,"you know some people on the case were, were a little hesitant on convicting him on some of the charges"
108757:10,"um, some of it, um,"
91185:45,"but some of the, uh, the small, some of the larger small schools, you know, i guess around three or four thousand students have a, can offer a broader range of curriculums and things,"
149748:21,"you know, particularly in some of the housing projects, uh, you know, that's, that tends  to be where a lot of that crime is focused"
93765:12,"so they took some time off that, uh, they could show us around."
38055:13,"and i process some ratings and put, do graphics for their television stations, mumblex their clients,"
87128:10,"there's some absolutely lovely and marvelous and peaceful areas in washington. regardless of the racial makeup,"
62717:78,"but that's one thing  to be said  for credit. it, how, it gets you some muscle where you need it  ."
44903:37,"and ma-, maybe let them have some mock, i mean uh, you know elections and stuff and vote for different people in their classes and start  really young."
22696:54,"i guess the weirdest thing i've ever caught  is, uh, in some of the inlets and the rivers around mumblex delaware."
61208:34,"and the, the ground will filter some of it but not all of it."
66700:68,"you know some people on the case were, were a little hesitant on convicting him on some of the charges"
115343:46,"i read, uh, a lot of steven king, dean r koontz, uh some danielle steel."
102998:7,"but some of the different things we're doing , uh there's just not a time, enough time to do it all"
7758:15,"but, there are some others out there that i don't believe  deserve the money they're getting ."
133518:49,"well, it went pretty well, uh, other than the fact that we encountered some, uh, problems that you run across  in older homes with plumbing, which one thing led to another ,"
142083:50,"some, uh, you know, i have some good shots and some bad shots."
45097:7,"now some people object during primaries,  having  to declare a party, whether republican or democrat"
128696:11,they have some of those in ohio.
146829:11,you see some of the stuff
121775:13,"um, maybe some rolls and, um, i guess  some, uh, some rice or something like that."
50456:132,"you know, we, we've got folks running around here who  get, who  get degrees in basket weaving and you know, underwater psychology, or some, some ridiculous stuff like that."
104342:23,"and i couldn't tell whether some parts of town had started it or if it was just everybody was, was waiting for the delivery of whatever those containers were ."
128305:9,"occasionally, some ice skating will come on, on a sunday or during the olympics"
70357:25,"and, they have, of course, some pretty severe storms, winter storms, snow and that type of thing."
144063:31,"well, th-, there were some people that, uh, that  had a problem with that. because they found out later on that, jeez, you know, a guy will lie rather than get killed ."
108856:73,"you can't understand what they're saying  on some of those songs which  probably is just as well on some of them, too."
141004:32,and then they'll get  to pick out some of those favorite snacks that they get  to pick  out
2345:21,"i, uh, have attended some seminars that  had some tapes that  went with them, but, uh, i guess not so much books although they sometimes have manuals and things,"
19745:104,"if you ever get a chance to go over to vicksburg, the battleground at vicksburg, uh, there's an area there where there was, uh, some texas, uh, groups"
133013:23,"um, and it really saved us some big money once."
11082:15,but they're predicting some more snow for our direction.
134301:16,"or, just have some wild flowers growing back there would be real pretty."
125857:6,"and some days he doesn't,"
122421:31,"uh, what, what are some of the shows that you have been able  to rent   though."
54373:11,there are some kurds living in iran.
26057:49,"well, having, having been out of the credit game for some years now, i've gotten used to  either paying in cash or not getting it."
18479:6,"and some places, they, they, they really nail them for tax."
99651:29,"well, it sounds like he's got some really, you know, good strong ideas of what he wants  to do ."
71201:52,"uh, i kn-, i'm familiar with some, some upbeat school areas,"
20722:22,i know they're doing some curbside recycling as a kind of a test there.
42470:35,"but somewhere we've got  to come up with some money to build,  to build more, you know, and keep these people in them, you know."
105485:20,"but, uh, we did some water skiing , of course, and, and, uh, driving around the lake in the boat"
168607:32,"and i thin-, there's also some, uh, i think, uh, poorer lifestyles illustrated but simply because it dominates so much discussionary time."
52983:20,"i know there are some good places to go  camping  along the, uh, the lakes."
51876:10,you get some kids in there
158476:38,"but they also did, they also did some of the teaching things"
99247:72,"i think the elementary school teachers, or maybe even the middle school teachers dress a little fancier than, than some of the high school teachers, i think."
6396:60,"and then i think there's, i mean i think there's some negatives,"
17721:21,"i've, uh, had some health problems that  have led me to, uh,"
65910:42,i would like  to be a little more into investigating some of the other countries in the world and their educational problems. and to come up with something a little better than what we've got .
77759:32,but i think it would be nice if some of the parents would be around for a few more hours.
66134:57,"i, uh, i'm trying my best right now  to pay off some of mine."
16212:24,"i was going  to make some, uh, like fish chunks and dip it in the fondue."
70974:78,"so. but, um, that's the hardest part for us is that it's really, um, you know, budgeting and some extra things, you know, for-, that  are more, you know, nonessential items."
125802:14,"you know, some places just specialize in just real little ones"
17546:43,"and, after i, i graduated, i read some of the old classics that i just bluffed my way through  and have found that i enjoy them quite a bit, too, uh,"
13296:18,"there are, uh, some groups that  have their children, you know, go away for a year."
167359:42,"and, uh they have put plastic, plexiglas kind of stuff in some of the windows."
14833:77,"we're going  to solve, try  to solve the aids problem while, while, you know, some people are getting killed  here and there"
121783:13,that would take some planning
148130:31,"uh, i suppose that puts me on some mailing lists and so forth, because i do get things from ski associations and things, uh, at, during the year."
155085:10,"find some extra payroll deductions is probably the only way we will be able  to, uh, do it ."
168991:40,"so. but, uh, you know, for some people that's good."
162314:57,"i, i guess they would charge a little bit if there was some orthodontia or something for one of my dependents or something like that"
157961:33,"and it has, um, helped us to afford some things for our children that we couldn't otherwise  that i think  are wonderful particularly at this age,"
135453:35,"i know, uh, the bri-, some of the british people laugh at us because we're so enthralled with their royalty."
76160:21,"and so, i think some of the things that i did  paid off."
64969:22,and i hope you get some more calls and make some more calls.
79557:42,"i, i'm glad,  to see some of these things, i think ."
81720:33,"and he's trying  to save the land from some, ooze."
45790:32,"now, they've been able  to get some good players and come around"
1206:10,and then some of them are speaking in a foreign language that i don't even understand .
72488:43,"but we may have  to give up on some, some things."
117330:23,it ended up i got some furniture  back that one of them had moved  out or something.
27773:13,i listen to some country and western
141908:36,"well, it seems like, i don't know, some things are sensationalized"
64299:18,"the other day we had some hail, the biggest hail i've ever seen  in texas."
9524:43,"well i mean i've had some pretty bad, i guess some pretty controversial topics"
2582:17,well i've seen some people try  to just come in like over the weekend because they want  to use the texteller machine.
3372:16,they came up with some pretty weird stuff after that.
164949:21,"ended up  getting some scholarships to go to college  and which  has been, you know, which  is really nice,"
66483:25,what 's amazing is some of them have been on death row for a number of years.
59544:10,"and then some of the bigger companies,"
33291:14,make hot dogs or some potato chips
172002:14,there would be some types of crimes for which you're not guaranteed  a jury trial .
38641:36,"i've always wanted  to go back and read some of my literature texts from college um, because i enjoyed some of those stories so much,"
63398:14,they even have some late night ones for people that  work second shift and things like that.
172589:128,"when you have the, when you have the, uh, the economy to scale and everything that a large corporation has  , and you can, uh, offer some incentive"
136292:43,"we've been getting quite a bit, maybe not quite as bad as some of the folks down around san antonio,"
153785:23,"you know, i have done some bow hunting"
86100:26,you have  to have some compassion some humanness.
138350:6,and some ways i didn't.
103644:40,"i, i think, with solving some of the energy, future energy problems, we'll probably solve some of the pollution problems as well."
70123:18,at least y'all are getting some rain up in dallas.
16456:40,"you put, um, really good vanilla favoring  in it and some butter"
31195:47,"but, uh, still i, i questioned the ability of some of the teachers to, uh, really do a bang-up job,"
166876:51,i think that should be left  up to people who  have some knowledge in the subject and more knowledge than a jury would have.
28597:28,"and we, uh, got a quote on some laser printers  the other day at six hundred dollars."
23951:137,"and if you take, uh, little pieces of pork  and you fry them, like little cubes of pork. and you fry them with garlic and a little bit of, couple dashes of hot pepper and then mix some hoi sin sauce with sherry, just a little sherry  to thin it, and stir that in."
162249:54,"but, uh, there's a four o one k plan uh, for, uh, sheltering some taxable income."
154986:45,"and then i, and then they in turn will get some money from the bottlers and from the the people that  do the canning of the pop and the beer as as well."
362:44,"that's just a matter of defining priorities, i guess or some priorities anyway."
31533:12,and it takes some drastic steps at this point.
136205:15,so there has been some flooding
159592:14,"but, uh, some of these groups now like slaughter."
100603:25,"usually there has  to be some wealth involved, which  is great, if, if you're financially, if, if you don't make the decisions so late that you're worried about money"
97106:13,"it's, some good, some bad, uh,"
20176:47,"so i think in, in some as-, some ways we are, uh, becoming a little too egalitarian in that, in that sense,"
43559:43,you wonder how in the world they ever got them to do some of these things .
82687:34,"but, you know, i know there are some days when she wi-, she wishes she was back at work ."
16608:27,i was trying  to think about some of my favorite people that i liked  in music
160988:9,"but also some poodles, uh"
12998:28,"and he, he likes some of the new groups like shenandoah,"
63963:80,"i, i wonder about some of the prod-, products that they don't take , like some of the plastics and things that they don't take . uh, why, why they couldn't do more recycling with those ."
72420:95,"there are a lot of jobs that  are coming about, like in computers at home, and those types of things, that  would at least in some ways, um, bridge the gap."
177493:13,i've cut some one by eight oak before.
84120:11,there was some plants that  are just spring bloomers
77843:15,every weekend there was some visiting somewhere.
123916:50,i don't know who  played when and who  does what like some guys are.
99608:4,"some schools i know  give, uh, oh,"
28274:4,some kids are really having it.
38651:29,"um, i trying  to think of some of my other favorite books,"
4489:44,"and, uh, so it's had that orientation for quite some time."
148463:10,"um, some of it sounds more like pop music."
71322:37,"in germany or in, in england in some cases people in my income level, at least, allege that they pay up to six-, fifty-five percent of their gross income in taxes."
152284:11,like in some of the large oil companies. there has been massive lay offs.
97229:18,or we really do develop some health problems.
143752:15,it seems that some of them have gotten higher
50719:6,and some people would get military service
168823:14,"but there were some things  that people brought  up like well what  happens if they, they get a false positive, you know, what recourse do you have ."
168236:157,"uh, and really, i-, i-, we were really forced  into  keeping a budget because i'm, i'm paid once a month which  sort of, sort of forces some, uh, uh, restrictions"
33143:60,"but there's, uh, they're a pain to peel  for some people."
20838:36,"and so, you know, when i found out some places to take it"
151303:29,"well, you know, you can take some of that, that testing a little bit too far."
60960:37,"on channel thirteen, uh, they had some, some programs the day before,"
75571:7,and some of the other ones weren't born.
43815:11,there's some nice stuff  over there to see .
26291:55,"and, and, it's, it's limited application in some respects."
55120:15,"boy, they'd some big changes, speaking of them."
7100:11,"well, and some people use one credit card  to pay for another credit card they own ,"
71321:4,"some states they pay, uh,"
138141:9,put some shelves in
77852:30,"we, although we have some relatives in the area that we, we see , we,"
89259:13,i think some parents go a little bit overboard.
98986:4,"some people just sit on them once in their lifetime, you know, if they're that lucky sometimes. or, you know, what, whatever the case may be . and, and may not have any idea of what, what the standard punishment  would be  for it."
32953:16,"and i've got some broccoli, uh, onions some, some radishes and, uh, uh, beets."
166806:63,"i think that a majority of the places in the u s, uh, you know, there is some government aid available,"
111407:85,"i was just in the shower after  finishing mowing the lawn and, you know,  mowing the lawn and removing some old petunias out of the garden,"
160087:28,"uh, you know, as sort of some development and some training, uh,"
176211:25,i'm sure there must be some good ones around here somewhere.
140818:41,"well, we've heard bad, we've heard some bad things about some of those, you know,"
80438:40,"but when you get into some of these, some of health clubs where you just stand around and wait  ."
124760:28,"that might help a little bit, especially in some places."
61917:28,and also i'm interested in writing some programs that  will kind of like remind me of things like remind me that wednesdays is trash day and the like.
33466:11,i got some interesting information about crawfish
139729:13,we've got some children
38592:10,"right now some of the things i'm working with  are kids that  are dealing with sexual abuse,"
72079:13,"or sand even some of them,"
127456:31,"oh, i, i know some of the people."
88001:23,"that would provide, uh, possibly some relief there to utilize some of the property taxes for other things, see."
61752:73,"so, uh, we got, we, we put dirt in the hole and then put some chicken wire around it, you know, so that he couldn't get out."
87240:87,"and i, i, i, i have  to think that, that it has some influence on it."
140196:19,"uh, and then what some people would consider  a little more difficult, i, i'll change spark plugs"
128489:17,"but if you do some basic exercises and you say every morning, just like brushing your teeth you're going  to spend fifteen minutes or a half hour."
3878:16,well i've gotten some good ideas from you.
156086:35,"well, not, not as hard as some places out west because you don't get the, uh, major pollution sources as you do out in denver  with the inversion and los angeles and a-, rest of california which  is just terrible it sounds."
174581:22,"and, of course, you have some savings in terms of taxpayer money  keeping people in jail or not."
161281:21,"i'm into, uh, some industrial music that 's, a, a bit even harder than that."
76223:21,"anyway, it ended up after some pretty, uh, heavy bidding, that i got all those bricks for forty dollars."
118955:17,"these, some of these young kids you read about ,  just doesn't bother them to kill someone at all"
136135:14,"he does have some real bizarre things, i think ."
95853:38,"and, and i'm not sure but what some of the insurance claims aren't due to, uh, illnesses brought on by drug abuse or alcohol abuse."
138703:48,"same sort of problem that  happens sometimes is these, some of these, uh, like aids tests and such."
71046:43,"well, uh, but i do realize that, that is realistic for some people,"
151138:37,"but, uh, they, they have done some testing around our office, mostly after lunch,  looking for people drinking, uh, drinking beer and stuff at lunch time,"
53598:10,"we got some awful rain, uh, the other morning."
21020:14,"but, uh, some of the crap that 's on t v nowadays, it's about."
83988:6,"and some people will still buy them, you know,"
138154:56,"uh, a few years ago, uh, we needed, uh, they needed some book shelves"
84117:33,and i just went out this weekend and bought me some plants and stuff.
36312:38,"i think youngsters ought  to go out and do some public service,"
161373:22,"but i also dislike, uh, some classical music,"
168977:55,"and they have, uh, you know, in, in some cases they have a greater self-esteem because they can say, they can see that, you know, if i do something or sub-, submit my own will to the will of the sargent or whatever, at least for a short period of time, i can accomplish a lot"
24443:14,"there are just some people that i, you know,"
71540:47,"in fact, i was going  to go out today  to buy some plants so i could put them in,"
62690:49,"and they say they can, you know, do something different and change some connectors"
159588:39,"i, i even like guns and roses, some of their stuff."
125651:10,"um, some of the qualifications that i look for  was that, uh, you know, the cost, and, um, exactly what they did , if it was structured or nonstructured, if they had a little academic, um, uh, in there, and, um, you know, um, you know, what the qualifications of the teachers' were , and if the place was clean and um, the hours"
9507:75,"well i guess this, the weather isn't as lively a topic as, uh, as some of the others we might have gotten ."
169366:50,"and i can, i can, you know, accept that some people think it's not and can find better ways to use it ."
96866:33,and so. but i know some of the other services do not think that women are capable of  doing the job.
103574:12,my line gets some static.
107802:43,"i, it, i have worked in some campaigns"
110628:20,"um, but she might have some contacts here,"
124787:54,"i really think, uh, you know, we're doing some, some important things."
80001:13,"i've got some applications,"
170022:25,a couple of times we've tried some things
74155:5,some of these are urban worries
47182:40,"so, i'd go up somewhere and camp overnight and then do some rafting."
71600:26,"and she cooks them for an hour with some fat backs,,"
138469:69,"then, then on the other hand i think it 's harder to stay home in some regards."
82296:18,"and they were just screening some candidates,"
116252:35,"i, i think there are some areas where we, where we, uh, pretty well, you know, get our money's worth ,"
27056:5,some of them were even better behaved.
97543:11,"i have some friends that  have children,"
135035:25,"i, i do some sewing, mostly out of necessity."
173724:18,"and by definition, for some of us, at least, the public good includes having an educated populace and then idea that, uh, you can make a sound judgment with respect to small votes in the, at the local level or bigger votes at the national level."
12611:177,"and i think that's the problem the p l o has  is that when they, whenever one group of them decides that they're going  to negotiate, or they're going  to do something, they're going  to try  to make some peace , but, uh, the end result is that they, there so many factions of them and, uh, some more violent than others, some with a certain agenda different than the others, or they split,"
124385:34,"but now i, i do like some of these, uh, brighter, fluorescent colors."
104196:61,"not, not, you know, the bouncy, you know sing along kind but some of the old, older ones that"
29416:66,"um, it, it, it  was very interesting that it seemed like some of the commentators had their axe to grind , you know,"
52283:13,i mean some of them are done  good
100889:88,"and maybe, uh, maybe this would be a way to get that feeling back . um, if we've lost some of that"
159124:81,who it really penalizes  is their insurance company which  then translates into higher rates for all of us. if they get some of those mega awards against them.
126604:16,"som-, some kids are so spoiled nowadays"
29177:21,"they need  to put some sternness back into the, into the teachers and let them be able  to, uh, get the old whip out and get some discipline."
153105:51,they're their cat was an outside cat and just end up with some kittens
47262:53,"the, uh, the movie, the doors, has so-, some nice desert scenes,"
130776:68,"and, uh, so, you know, if there are some energy savings or if there is some significant savings, anything that they can pass  on to the consumer, you know,"
139682:16,"we've got, some children who  would just really, uh, enjoy  having an animal, you know, a dog, i think"
25608:31,"and then, you know, we've got some guys here that  they are, you know, four and five handicappers"
143183:27,it sounds like we've been to some of the same places.
31271:110,"are the rest of us who  went for the big bucks, you know, staying out of, you know, where maybe we should be kind of socially obligated  to spend some time  teaching or something with these kids ."
53606:58,"apparently, i, i don't know if it was just the strong winds or some small tornadoes up this way too."
93264:4,"some people are compl-, now are complaining because the stuff isn't picked  up at the curbside, you know,"
42653:25,"and, and if some of them are doing something that they shouldn't be  and then they have one of those toy guns in their hands"
41573:26,"but then usually when you find out some information from like your parents , then you can find out from, you know, you can find somebody else that  can tell you something else about these,"
129990:36,"although just, just about a week ago some of my volunteer mothers that, uh,  work in the library for me said they hadn't gotten theirs."
145369:58,"i h-, i have, we have some, some friends that  did the, exactly the same thing."
44119:16,"so we still have some of that trim work to do  because we put it off all this time,"
78762:25,"but, even, even some little ones do pretty good"
100584:49,"you know, go to the dining room and, and eat some good meals."
172656:9,at least some companies.
96656:11,"we have some engineers that  still,"
168218:13,and they have some good feedback and all that stuff
160087:35,"uh, you know, as sort of some development and some training, uh,"
96034:46,"well, as a matter of fact, uh, my mother was going through some things  not lon-, not long ago, i guess it has been a couple of years ago, in an old trunk that she had ."
4529:7,and some of them were disastrous
131278:6,"and some ways, it might be kind of scary."
149891:51,"i've actually, i've known, known some people that  have had their cars stolen ."
169856:19,"uh, but, uh, some friends of mine have, uh, gone through this."
54017:18,"just when i get some spare time here and there  i'll work on it,"
70703:18,"well, i've done some rewiring on it."
18660:24,"i used it on, uh, some other machines in days gone by and was real pleased  to leave it."
113457:49,"and when the cowboys won the superbowl here , of course, they put together some real cute songs,"
11233:53,"you know that was one thing we noticed  last week that we had some new people move into our building and, you know, the nice cardboard boxes that you move, packing boxes. and they were just used  one time and thrown  in the dumpster"
91388:33,"so you've really, uh, i guess sacrificed some social exposure to different groups and everything."
145009:13,"and you hear some people say, you know, well, he's a man,"
86451:40,"the only thing i didn't like  was in some of the more touristy areas uh, um, the, it would just be besieged  by people wanting to be your guide"
30493:38,"there are some definitely, some, some advantages to it."
9797:33,"i've, i've seen some of them on repeats."
19744:12,"they were some groups of it, the vicksburg,"
174864:19,"so, uh, there's some noise on this end."
108807:56,"um, i don't like  to listen to it all the time, but, um, some of the time, anyway."
107469:25,"and there are, you know, some places that  will set up you know for old newspapers and stuff."
47147:12,and there's some real nice ones in arkansas.
49875:48,"uh, they still have some, some, uh, some draft picks, uh, that they got ,"
61538:39,"we, we were trying  to find some pictures of him recently."
38641:72,"i've always wanted  to go back and read some of my literature texts from college um, because i enjoyed some of those stories so much,"
138298:34,it's an opportunity to get out and relieve some of the pressure that you feel  day to day
162002:32,"and, uh, we're looking at, uh, some just four door, five passenger sedans as well."
41566:22,"i just remember they had some funny stories,"
84530:21,"at new years, we had some people come in and, uh, like attack one of the planes. because they were protesting, uh, the presence over in the persian gulf."
161183:38,"well, you should, you should have some opinions on that, then."
33345:49,one of the unique things in this it's like a pound of ground beef some bread crumbs um an egg um whatever seasonings
50337:29,and what 's wrong is right in some cases.
77264:6,"and some people said to me, well, that's our wintertime."
127761:15,not enough stories with some substance that you can really get into .
118734:78,"and, um, i think that if we had enough money and paid the teachers a little bit more, that maybe that could solve some of our problems."
20170:26,"there are, were some, uh, regulations  over, i don't know whether they're laws passed or, or whatever they're called  , uh, just recently, where, uh, people with certain diseases can not be excluded , uh, from, uh, immigration ."
61000:7,"and some of the people that  work there have told me that when they have inspectors coming  they, you know, shut down everything and they clean up their act, but on a normal basis that they're, that they're dumping things, that they're not supposed  to be dumping ,"
22992:33,"and then on the other hand, i've seen some people go into the nursing home and just so happy you know."
31987:28,"you know, after a while you make some stuff,"
13983:93,"i, i, you know, i think that we have a bunch of elderly folks in the country that  could use some help"
19933:5,some of those get very philosophical
48706:4,"some things we can't do ,"
41717:66,"well i feel like too, on the job, when, you know, there's men around and some of the managers are men , you just, you know, you don't want them looking at your legs necessarily."
163234:34,"but i, i do know some of these places were doing that"
16640:26,"i, i like some of his songs, though."
130994:56,"and, i guess he, he did some crazy thing  to get some extra money from the bank and then ran away, type of deal."
156060:102,"well, you also have the very close related thing of the, uh, rain forest destruction which  is the main source of what 's clearing out the atmosphere and replacing some of the pollutants."
18285:38,"in fact, we put in some, uh, some more roses yesterday."
130584:43,"uh, the closest thing i did  was go to some like, uh, restored castles and stuff."
5140:15,and that does take some time.
99355:10,"well, some of them, yes they do"
15261:29,"i think that maybe that's why some people do it  is, uh, to see the other cultures or, you know and some of that."
31317:82,"and while it had, you know, a few little grammatical problems, it wasn't very long and so forth. i thought it had some nice, well thought out, uh, parts to it."
77887:17,"and so the kids in some ways are, are, are suffering a little bit, in that, uh, the model, the role models that  get the, the, the family issues that  get discussed , and all these, i think  are very important parts of them growing up,"
44694:37,"uh, and, and, you know, some people might not believe that"
60034:130,"and then we'll have all, we'll have, we will have the money if we would do that to, to work on your own system because we've got some serious problems here"
88070:6,"and some, people don't even own a car and know how to drive a car ."
146618:32,and then you would see see some of the others that  are were like distant from the other group
132148:16,and there's probably some truth to that.
14769:69,"and what we have  to do  is, we have  to go, uh,  get some stuff, steal it, and then, you know, just resell it."
176780:98,"rodney got beat  up because he, he, you know, he pur-, you know, he involved himself in some sub, self-destructive behavior."
164858:59,"there wasn't as many advanced placement courses , uh, when i was a senior  that some other schools had ."
24802:122,"it's like if, if your father owns a grocery store and you're really interested in that, there's no reason that you should take college prep courses  when you can get some general business courses in high school ."
75949:43,"you can, you know, you can get some of us,"
102005:100,"it, it's, as much as you want, you know torn up and, and rice and cream of chicken soup and some mayonnaise and lemon juice and celery"
43900:8,probably some of them did.
74608:91,"but, uh, that was, that's the extent of which i guess that's more than, than some people, less than others."
79893:26,"i, i have some neighbors across the field,"
63072:28,and then i was having  to work some real late hours  to get caught with my work after i got out of class.
91119:18,so you probably could give some great advice.
135535:24,and then make movies out of some of them.
95835:35,"but out on the line, they've got people working some serious equipment."
47270:33,"i mean, it's just almost surreal, in some places."
95535:14,"she told me some of the things you can do ,"
91184:148,"i, i think i'd, i'd advise a parent  to send a kid to a school , though, that  has a number of different types of programs, you know, that, uh, some of the smaller schools might be very limited in what they can offer ,"
20839:32,"and, um, like, um, they also take some things at the flower mound dump behind the fire station there,"
38991:16,"and i've done some of the crewel and the, um something similar to that"
10235:39,unfortunately the rangers don't spread it around quite as big as some of the other teams do.
63221:32,"um, it's a lot more fun than some other things i could do , i guess ."
99831:29,"that's enough to, uh, do some boating"
89352:11,what are some others that you have seen  lately .
56132:85,"uh, or we'll suddenly be in the dark and say, oh, my goodness, now we don't have the ability to go on to some new technology."
45110:199,"and, uh, i do think more needs  to be done  along that line to help to, uh, teach the people, uh, uh, everyone, uh, more about what  is going on with voting and with nonvoting. so that, uh, we can make, they're making some more intelligent decisions."
151536:59,"and, uh, each one of the, everybody that  showed up donated some money for the rent and for, for like soft drinks"
95804:23,there's got  to be some backup to say that
148183:40,i'd like  to go to sundance and park city and some of those.
23641:34,"we got, we got what some people call  the best beef in the world."
173289:7,but some of them are very rich
109255:17,"the second thing is some colleges only offer the, uh, liberal arts and, uh, whereas like state, they offer engineering courses"
101449:50,this is something that  ought  to be in the schools rather than some of the other stuff they do .
115483:40,"i like, i like  to read some of the philosophy stuff."
90144:26,but i do know that there are some wonderful places out there
140818:55,"well, we've heard bad, we've heard some bad things about some of those, you know,"
119111:78,"uh, i just have a feeling that we've kind of talked out of both sides of mouths down there like we do in some other situations you know."
20734:50,"they'll help you, recycle, because we, there is some bins, like behind wal-mart, that  take some things."
104694:41,"and there's some, i think there's some good disney movies fixing to come out on video, uh, shipwrecked."
159233:9,"but in some instances you're going  to put companies out of business by  taking that stance, if they have  to take it out of their own retained earnings."
69672:11,they got some unusual things besides blood and urine tests.
160477:87,"and for the longer term i, i read, uh, like scientific american and, and, uh, readers' digest and some of those other types of magazines that  come out which, they,"
16039:6,in some cases
141921:54,"and, uh, i also like  to plant flowers and do do some gardening and do arts and crafts."
2100:38,"um, it takes some, it  takes some dedication to do it,"
124500:45,"my son and i used  to have a bet  going about some of the players that  had moved from here to minnesota,"
108349:80,"so you don't have  to, you don't have  to buy the lot of the wardrobe that some of the people in banking and that kind of thing do ."
134426:41,"and, uh, we've got some plum trees and some apple trees and some tomato and some blackberries and strawberries."
107796:20,"i have been involved in some political campaigns and that kind of thing,"
169024:29,"uh, i know that there's been some increases in crime lately in terms of murders."
177102:83,"and the thing that  just was in the local news bulletin was, somebody has, uh, ter-, made some special, uh, polymers that  have the ability to, uh, make certain actinide elements adhere to them."
24388:44,"i, i thought maybe you might have had some experience with the, uh, r c one thirty-fives."
166817:15,definitely does need some improvements.
121141:6,and some people call them may beetles.
147754:50,"and personally i feel it's probably, there's probably some of each."
30596:33,"i mean, and then of course you have some changes to make , and do the whole thing over."
86408:11,in fact some of the days we froze.
98969:36,"and one thing that you get  if you have some expertise is, uh, you know the range of, of possible values or terms or, you know, how heinous was the crime ."
